declarationId,senderReference,receiverReference,goodsCategoryCode,riskAssessmentCode,originCountry,declaredValue,weightKg
DEC-01216,SND-0173,RCV-0015,CAT-033,RISK-01,DE,45092.16,81.8
DEC-01217,SND-0190,RCV-0044,CAT-040,RISK-06,PL,45129.17,83.1
DEC-01218,SND-0207,RCV-0073,CAT-047,RISK-11,NL,45166.18,84.4
DEC-01219,SND-0224,RCV-0102,CAT-054,RISK-16,CN,45203.19,85.7
DEC-01220,SND-0241,RCV-0131,CAT-061,RISK-01,US,45240.20,87.0
DEC-01221,SND-0008,RCV-0160,CAT-068,RISK-06,EE,45277.21,88.3
DEC-01222,SND-0025,RCV-0189,CAT-075,RISK-11,LV,45314.22,89.6
DEC-01223,SND-0042,RCV-0218,CAT-002,RISK-16,LT,45351.23,90.9
DEC-01224,SND-0059,RCV-0247,CAT-009,RISK-01,FI,45388.24,92.2
DEC-01225,SND-0076,RCV-0026,CAT-016,RISK-06,SE,45425.25,93.5
DEC-01226,SND-0093,RCV-0055,CAT-023,RISK-11,DE,45462.26,94.8
DEC-01227,SND-0110,RCV-0084,CAT-030,RISK-16,PL,45499.27,96.1
DEC-01228,SND-0127,RCV-0113,CAT-037,RISK-01,NL,45536.28,97.4
DEC-01229,SND-0144,RCV-0142,CAT-044,RISK-06,CN,45573.29,98.7
DEC-01230,SND-0161,RCV-0171,CAT-051,RISK-11,US,45610.30,100.0
DEC-01231,SND-0178,RCV-0200,CAT-058,RISK-16,EE,45647.31,101.3
DEC-01232,SND-0195,RCV-0229,CAT-065,RISK-01,LV,45684.32,102.6
DEC-01233,SND-0212,RCV-0008,CAT-072,RISK-06,LT,45721.33,103.9
DEC-01234,SND-0229,RCV-0037,CAT-079,RISK-11,FI,45758.34,105.2
DEC-01235,SND-0246,RCV-0066,CAT-006,RISK-16,SE,45795.35,106.5
DEC-01236,SND-0013,RCV-0095,CAT-013,RISK-01,DE,45832.36,107.8
DEC-01237,SND-0030,RCV-0124,CAT-020,RISK-06,PL,45869.37,109.1
DEC-01238,SND-0047,RCV-0153,CAT-027,RISK-11,NL,45906.38,110.4
DEC-01239,SND-0064,RCV-0182,CAT-034,RISK-16,CN,45943.39,111.7
DEC-01240,SND-0081,RCV-0211,CAT-041,RISK-01,US,45980.40,113.0
DEC-01241,SND-0098,RCV-0240,CAT-048,RISK-06,EE,46017.41,114.3
DEC-01242,SND-0115,RCV-0019,CAT-055,RISK-11,LV,46054.42,115.6
DEC-01243,SND-0132,RCV-0048,CAT-062,RISK-16,LT,46091.43,116.9
DEC-01244,SND-0149,RCV-0077,CAT-069,RISK-01,FI,46128.44,118.2
DEC-01245,SND-0166,RCV-0106,CAT-076,RISK-06,SE,46165.45,119.5
DEC-01246,SND-0183,RCV-0135,CAT-003,RISK-11,DE,46202.46,120.8
DEC-01247,SND-0200,RCV-0164,CAT-010,RISK-16,PL,46239.47,122.1
DEC-01248,SND-0217,RCV-0193,CAT-017,RISK-01,NL,46276.48,123.4
DEC-01249,SND-0234,RCV-0222,CAT-024,RISK-06,CN,46313.49,124.7
DEC-01250,SND-0001,RCV-0001,CAT-031,RISK-11,US,46350.50,126.0
DEC-01251,SND-0018,RCV-0030,CAT-038,RISK-16,EE,46387.51,127.3
DEC-01252,SND-0035,RCV-0059,CAT-045,RISK-01,LV,46424.52,128.6
DEC-01253,SND-0052,RCV-0088,CAT-052,RISK-06,LT,46461.53,129.9
DEC-01254,SND-0069,RCV-0117,CAT-059,RISK-11,FI,46498.54,131.2
DEC-01255,SND-0086,RCV-0146,CAT-066,RISK-16,SE,46535.55,132.5
DEC-01256,SND-0103,RCV-0175,CAT-073,RISK-01,DE,46572.56,133.8
DEC-01257,SND-0120,RCV-0204,CAT-080,RISK-06,PL,46609.57,135.1
DEC-01258,SND-0137,RCV-0233,CAT-007,RISK-11,NL,46646.58,136.4
DEC-01259,SND-0154,RCV-0012,CAT-014,RISK-16,CN,46683.59,137.7
DEC-01260,SND-0171,RCV-0041,CAT-021,RISK-01,US,46720.60,139.0
DEC-01261,SND-0188,RCV-0070,CAT-028,RISK-06,EE,46757.61,140.3
DEC-01262,SND-0205,RCV-0099,CAT-035,RISK-11,LV,46794.62,141.6
DEC-01263,SND-0222,RCV-0128,CAT-042,RISK-16,LT,46831.63,142.9
DEC-01264,SND-0239,RCV-0157,CAT-049,RISK-01,FI,46868.64,144.2
DEC-01265,SND-0006,RCV-0186,CAT-056,RISK-06,SE,46905.65,145.5
DEC-01266,SND-0023,RCV-0215,CAT-063,RISK-11,DE,46942.66,146.8
DEC-01267,SND-0040,RCV-0244,CAT-070,RISK-16,PL,46979.67,148.1
DEC-01268,SND-0057,RCV-0023,CAT-077,RISK-01,NL,47016.68,149.4
DEC-01269,SND-0074,RCV-0052,CAT-004,RISK-06,CN,47053.69,150.7
DEC-01270,SND-0091,RCV-0081,CAT-011,RISK-11,US,47090.70,152.0
DEC-01271,SND-0108,RCV-0110,CAT-018,RISK-16,EE,47127.71,153.3
DEC-01272,SND-0125,RCV-0139,CAT-025,RISK-01,LV,47164.72,154.6
DEC-01273,SND-0142,RCV-0168,CAT-032,RISK-06,LT,47201.73,155.9
DEC-01274,SND-0159,RCV-0197,CAT-039,RISK-11,FI,47238.74,157.2
DEC-01275,SND-0176,RCV-0226,CAT-046,RISK-16,SE,47275.75,158.5
DEC-01276,SND-0193,RCV-0005,CAT-053,RISK-01,DE,47312.76,159.8
DEC-01277,SND-0210,RCV-0034,CAT-060,RISK-06,PL,47349.77,161.1
DEC-01278,SND-0227,RCV-0063,CAT-067,RISK-11,NL,47386.78,162.4
DEC-01279,SND-0244,RCV-0092,CAT-074,RISK-16,CN,47423.79,163.7
DEC-01280,SND-0011,RCV-0121,CAT-001,RISK-01,US,47460.80,165.0
DEC-01281,SND-0028,RCV-0150,CAT-008,RISK-06,EE,47497.81,166.3
DEC-01282,SND-0045,RCV-0179,CAT-015,RISK-11,LV,47534.82,167.6
DEC-01283,SND-0062,RCV-0208,CAT-022,RISK-16,LT,47571.83,168.9
DEC-01284,SND-0079,RCV-0237,CAT-029,RISK-01,FI,47608.84,170.2
DEC-01285,SND-0096,RCV-0016,CAT-036,RISK-06,SE,47645.85,171.5
DEC-01286,SND-0113,RCV-0045,CAT-043,RISK-11,DE,47682.86,172.8
DEC-01287,SND-0130,RCV-0074,CAT-050,RISK-16,PL,47719.87,174.1
DEC-01288,SND-0147,RCV-0103,CAT-057,RISK-01,NL,47756.88,175.4
DEC-01289,SND-0164,RCV-0132,CAT-064,RISK-06,CN,47793.89,176.7
DEC-01290,SND-0181,RCV-0161,CAT-071,RISK-11,US,47830.90,178.0
DEC-01291,SND-0198,RCV-0190,CAT-078,RISK-16,EE,47867.91,179.3
DEC-01292,SND-0215,RCV-0219,CAT-005,RISK-01,LV,47904.92,180.6
DEC-01293,SND-0232,RCV-0248,CAT-012,RISK-06,LT,47941.93,181.9
DEC-01294,SND-0249,RCV-0027,CAT-019,RISK-11,FI,47978.94,183.2
DEC-01295,SND-0016,RCV-0056,CAT-026,RISK-16,SE,48015.95,184.5
DEC-01296,SND-0033,RCV-0085,CAT-033,RISK-01,DE,48052.96,185.8
DEC-01297,SND-0050,RCV-0114,CAT-040,RISK-06,PL,48089.97,187.1
DEC-01298,SND-0067,RCV-0143,CAT-047,RISK-11,NL,48126.98,188.4
DEC-01299,SND-0084,RCV-0172,CAT-054,RISK-16,CN,48163.99,189.7
DEC-01300,SND-0101,RCV-0201,CAT-061,RISK-01,US,48200.00,191.0
DEC-01301,SND-0118,RCV-0230,CAT-068,RISK-06,EE,48237.01,192.3
DEC-01302,SND-0135,RCV-0009,CAT-075,RISK-11,LV,48274.02,193.6
DEC-01303,SND-0152,RCV-0038,CAT-002,RISK-16,LT,48311.03,194.9
DEC-01304,SND-0169,RCV-0067,CAT-009,RISK-01,FI,48348.04,196.2
DEC-01305,SND-0186,RCV-0096,CAT-016,RISK-06,SE,48385.05,197.5
DEC-01306,SND-0203,RCV-0125,CAT-023,RISK-11,DE,48422.06,198.8
DEC-01307,SND-0220,RCV-0154,CAT-030,RISK-16,PL,48459.07,200.1
DEC-01308,SND-0237,RCV-0183,CAT-037,RISK-01,NL,48496.08,201.4
DEC-01309,SND-0004,RCV-0212,CAT-044,RISK-06,CN,48533.09,202.7
DEC-01310,SND-0021,RCV-0241,CAT-051,RISK-11,US,48570.10,204.0
DEC-01311,SND-0038,RCV-0020,CAT-058,RISK-16,EE,48607.11,205.3
DEC-01312,SND-0055,RCV-0049,CAT-065,RISK-01,LV,48644.12,206.6
DEC-01313,SND-0072,RCV-0078,CAT-072,RISK-06,LT,48681.13,207.9
DEC-01314,SND-0089,RCV-0107,CAT-079,RISK-11,FI,48718.14,209.2
DEC-01315,SND-0106,RCV-0136,CAT-006,RISK-16,SE,48755.15,210.5
DEC-01316,SND-0123,RCV-0165,CAT-013,RISK-01,DE,48792.16,211.8
DEC-01317,SND-0140,RCV-0194,CAT-020,RISK-06,PL,48829.17,213.1
DEC-01318,SND-0157,RCV-0223,CAT-027,RISK-11,NL,48866.18,214.4
DEC-01319,SND-0174,RCV-0002,CAT-034,RISK-16,CN,48903.19,215.7
DEC-01320,SND-0191,RCV-0031,CAT-041,RISK-01,US,48940.20,217.0
DEC-01321,SND-0208,RCV-0060,CAT-048,RISK-06,EE,48977.21,218.3
DEC-01322,SND-0225,RCV-0089,CAT-055,RISK-11,LV,49014.22,219.6
DEC-01323,SND-0242,RCV-0118,CAT-062,RISK-16,LT,49051.23,220.9
DEC-01324,SND-0009,RCV-0147,CAT-069,RISK-01,FI,49088.24,222.2
DEC-01325,SND-0026,RCV-0176,CAT-076,RISK-06,SE,49125.25,223.5
DEC-01326,SND-0043,RCV-0205,CAT-003,RISK-11,DE,49162.26,224.8
DEC-01327,SND-0060,RCV-0234,CAT-010,RISK-16,PL,49199.27,226.1
DEC-01328,SND-0077,RCV-0013,CAT-017,RISK-01,NL,49236.28,227.4
DEC-01329,SND-0094,RCV-0042,CAT-024,RISK-06,CN,49273.29,228.7
DEC-01330,SND-0111,RCV-0071,CAT-031,RISK-11,US,49310.30,230.0
DEC-01331,SND-0128,RCV-0100,CAT-038,RISK-16,EE,49347.31,231.3
DEC-01332,SND-0145,RCV-0129,CAT-045,RISK-01,LV,49384.32,232.6
DEC-01333,SND-0162,RCV-0158,CAT-052,RISK-06,LT,49421.33,233.9
DEC-01334,SND-0179,RCV-0187,CAT-059,RISK-11,FI,49458.34,235.2
DEC-01335,SND-0196,RCV-0216,CAT-066,RISK-16,SE,49495.35,236.5
DEC-01336,SND-0213,RCV-0245,CAT-073,RISK-01,DE,49532.36,237.8
DEC-01337,SND-0230,RCV-0024,CAT-080,RISK-06,PL,49569.37,239.1
DEC-01338,SND-0247,RCV-0053,CAT-007,RISK-11,NL,49606.38,240.4
DEC-01339,SND-0014,RCV-0082,CAT-014,RISK-16,CN,49643.39,241.7
DEC-01340,SND-0031,RCV-0111,CAT-021,RISK-01,US,49680.40,243.0
DEC-01341,SND-0048,RCV-0140,CAT-028,RISK-06,EE,49717.41,244.3
DEC-01342,SND-0065,RCV-0169,CAT-035,RISK-11,LV,49754.42,245.6
DEC-01343,SND-0082,RCV-0198,CAT-042,RISK-16,LT,49791.43,246.9
DEC-01344,SND-0099,RCV-0227,CAT-049,RISK-01,FI,49828.44,248.2
DEC-01345,SND-0116,RCV-0006,CAT-056,RISK-06,SE,49865.45,249.5
DEC-01346,SND-0133,RCV-0035,CAT-063,RISK-11,DE,49902.46,250.8
DEC-01347,SND-0150,RCV-0064,CAT-070,RISK-16,PL,49939.47,252.1
DEC-01348,SND-0167,RCV-0093,CAT-077,RISK-01,NL,49976.48,253.4
DEC-01349,SND-0184,RCV-0122,CAT-004,RISK-06,CN,50013.49,254.7
DEC-01350,SND-0201,RCV-0151,CAT-011,RISK-11,US,50050.50,256.0
DEC-01351,SND-0218,RCV-0180,CAT-018,RISK-16,EE,50087.51,257.3
DEC-01352,SND-0235,RCV-0209,CAT-025,RISK-01,LV,50124.52,258.6
DEC-01353,SND-0002,RCV-0238,CAT-032,RISK-06,LT,50161.53,259.9
DEC-01354,SND-0019,RCV-0017,CAT-039,RISK-11,FI,50198.54,261.2
DEC-01355,SND-0036,RCV-0046,CAT-046,RISK-16,SE,50235.55,262.5
DEC-01356,SND-0053,RCV-0075,CAT-053,RISK-01,DE,50272.56,263.8
DEC-01357,SND-0070,RCV-0104,CAT-060,RISK-06,PL,50309.57,265.1
DEC-01358,SND-0087,RCV-0133,CAT-067,RISK-11,NL,50346.58,266.4
DEC-01359,SND-0104,RCV-0162,CAT-074,RISK-16,CN,50383.59,267.7
DEC-01360,SND-0121,RCV-0191,CAT-001,RISK-01,US,50420.60,269.0
DEC-01361,SND-0138,RCV-0220,CAT-008,RISK-06,EE,50457.61,270.3
DEC-01362,SND-0155,RCV-0249,CAT-015,RISK-11,LV,50494.62,271.6
DEC-01363,SND-0172,RCV-0028,CAT-022,RISK-16,LT,50531.63,272.9
DEC-01364,SND-0189,RCV-0057,CAT-029,RISK-01,FI,50568.64,274.2
DEC-01365,SND-0206,RCV-0086,CAT-036,RISK-06,SE,50605.65,275.5
DEC-01366,SND-0223,RCV-0115,CAT-043,RISK-11,DE,50642.66,276.8
DEC-01367,SND-0240,RCV-0144,CAT-050,RISK-16,PL,50679.67,278.1
DEC-01368,SND-0007,RCV-0173,CAT-057,RISK-01,NL,50716.68,279.4
DEC-01369,SND-0024,RCV-0202,CAT-064,RISK-06,CN,50753.69,280.7
DEC-01370,SND-0041,RCV-0231,CAT-071,RISK-11,US,50790.70,282.0
DEC-01371,SND-0058,RCV-0010,CAT-078,RISK-16,EE,50827.71,283.3
DEC-01372,SND-0075,RCV-0039,CAT-005,RISK-01,LV,50864.72,284.6
DEC-01373,SND-0092,RCV-0068,CAT-012,RISK-06,LT,50901.73,285.9
DEC-01374,SND-0109,RCV-0097,CAT-019,RISK-11,FI,50938.74,287.2
DEC-01375,SND-0126,RCV-0126,CAT-026,RISK-16,SE,50975.75,288.5
DEC-01376,SND-0143,RCV-0155,CAT-033,RISK-01,DE,51012.76,289.8
DEC-01377,SND-0160,RCV-0184,CAT-040,RISK-06,PL,51049.77,291.1
DEC-01378,SND-0177,RCV-0213,CAT-047,RISK-11,NL,51086.78,292.4
DEC-01379,SND-0194,RCV-0242,CAT-054,RISK-16,CN,51123.79,293.7
DEC-01380,SND-0211,RCV-0021,CAT-061,RISK-01,US,51160.80,295.0
DEC-01381,SND-0228,RCV-0050,CAT-068,RISK-06,EE,51197.81,296.3
DEC-01382,SND-0245,RCV-0079,CAT-075,RISK-11,LV,51234.82,297.6
DEC-01383,SND-0012,RCV-0108,CAT-002,RISK-16,LT,51271.83,298.9
DEC-01384,SND-0029,RCV-0137,CAT-009,RISK-01,FI,51308.84,300.2
DEC-01385,SND-0046,RCV-0166,CAT-016,RISK-06,SE,51345.85,301.5
DEC-01386,SND-0063,RCV-0195,CAT-023,RISK-11,DE,51382.86,302.8
DEC-01387,SND-0080,RCV-0224,CAT-030,RISK-16,PL,51419.87,304.1
DEC-01388,SND-0097,RCV-0003,CAT-037,RISK-01,NL,51456.88,305.4
DEC-01389,SND-0114,RCV-0032,CAT-044,RISK-06,CN,51493.89,306.7
DEC-01390,SND-0131,RCV-0061,CAT-051,RISK-11,US,51530.90,308.0
DEC-01391,SND-0148,RCV-0090,CAT-058,RISK-16,EE,51567.91,309.3
DEC-01392,SND-0165,RCV-0119,CAT-065,RISK-01,LV,51604.92,310.6
DEC-01393,SND-0182,RCV-0148,CAT-072,RISK-06,LT,51641.93,311.9
DEC-01394,SND-0199,RCV-0177,CAT-079,RISK-11,FI,51678.94,313.2
DEC-01395,SND-0216,RCV-0206,CAT-006,RISK-16,SE,51715.95,314.5
DEC-01396,SND-0233,RCV-0235,CAT-013,RISK-01,DE,51752.96,315.8
DEC-01397,SND-0250,RCV-0014,CAT-020,RISK-06,PL,51789.97,317.1
DEC-01398,SND-0017,RCV-0043,CAT-027,RISK-11,NL,51826.98,318.4
DEC-01399,SND-0034,RCV-0072,CAT-034,RISK-16,CN,51863.99,319.7
DEC-01400,SND-0051,RCV-0101,CAT-041,RISK-01,US,51900.00,321.0
DEC-01401,SND-0068,RCV-0130,CAT-048,RISK-06,EE,51937.01,322.3
DEC-01402,SND-0085,RCV-0159,CAT-055,RISK-11,LV,51974.02,323.6
DEC-01403,SND-0102,RCV-0188,CAT-062,RISK-16,LT,52011.03,324.9
DEC-01404,SND-0119,RCV-0217,CAT-069,RISK-01,FI,52048.04,326.2
DEC-01405,SND-0136,RCV-0246,CAT-076,RISK-06,SE,52085.05,327.5
DEC-01406,SND-0153,RCV-0025,CAT-003,RISK-11,DE,52122.06,328.8
DEC-01407,SND-0170,RCV-0054,CAT-010,RISK-16,PL,52159.07,330.1
DEC-01408,SND-0187,RCV-0083,CAT-017,RISK-01,NL,52196.08,331.4
DEC-01409,SND-0204,RCV-0112,CAT-024,RISK-06,CN,52233.09,332.7
DEC-01410,SND-0221,RCV-0141,CAT-031,RISK-11,US,52270.10,334.0
DEC-01411,SND-0238,RCV-0170,CAT-038,RISK-16,EE,52307.11,335.3
DEC-01412,SND-0005,RCV-0199,CAT-045,RISK-01,LV,52344.12,336.6
DEC-01413,SND-0022,RCV-0228,CAT-052,RISK-06,LT,52381.13,337.9
DEC-01414,SND-0039,RCV-0007,CAT-059,RISK-11,FI,52418.14,339.2
DEC-01415,SND-0056,RCV-0036,CAT-066,RISK-16,SE,52455.15,340.5
DEC-01416,SND-0073,RCV-0065,CAT-073,RISK-01,DE,52492.16,341.8
DEC-01417,SND-0090,RCV-0094,CAT-080,RISK-06,PL,52529.17,343.1
DEC-01418,SND-0107,RCV-0123,CAT-007,RISK-11,NL,52566.18,344.4
DEC-01419,SND-0124,RCV-0152,CAT-014,RISK-16,CN,52603.19,345.7
DEC-01420,SND-0141,RCV-0181,CAT-021,RISK-01,US,52640.20,347.0
DEC-01421,SND-0158,RCV-0210,CAT-028,RISK-06,EE,52677.21,348.3
DEC-01422,SND-0175,RCV-0239,CAT-035,RISK-11,LV,52714.22,349.6
DEC-01423,SND-0192,RCV-0018,CAT-042,RISK-16,LT,52751.23,350.9
DEC-01424,SND-0209,RCV-0047,CAT-049,RISK-01,FI,52788.24,352.2
DEC-01425,SND-0226,RCV-0076,CAT-056,RISK-06,SE,52825.25,353.5
DEC-01426,SND-0243,RCV-0105,CAT-063,RISK-11,DE,52862.26,354.8
DEC-01427,SND-0010,RCV-0134,CAT-070,RISK-16,PL,52899.27,356.1
DEC-01428,SND-0027,RCV-0163,CAT-077,RISK-01,NL,52936.28,357.4
DEC-01429,SND-0044,RCV-0192,CAT-004,RISK-06,CN,52973.29,358.7
DEC-01430,SND-0061,RCV-0221,CAT-011,RISK-11,US,53010.30,360.0
DEC-01431,SND-0078,RCV-0250,CAT-018,RISK-16,EE,53047.31,361.3
DEC-01432,SND-0095,RCV-0029,CAT-025,RISK-01,LV,53084.32,362.6
DEC-01433,SND-0112,RCV-0058,CAT-032,RISK-06,LT,53121.33,363.9
DEC-01434,SND-0129,RCV-0087,CAT-039,RISK-11,FI,53158.34,365.2
DEC-01435,SND-0146,RCV-0116,CAT-046,RISK-16,SE,53195.35,366.5
DEC-01436,SND-0163,RCV-0145,CAT-053,RISK-01,DE,53232.36,367.8
DEC-01437,SND-0180,RCV-0174,CAT-060,RISK-06,PL,53269.37,369.1
DEC-01438,SND-0197,RCV-0203,CAT-067,RISK-11,NL,53306.38,370.4
DEC-01439,SND-0214,RCV-0232,CAT-074,RISK-16,CN,53343.39,371.7
DEC-01440,SND-0231,RCV-0011,CAT-001,RISK-01,US,53380.40,373.0
DEC-01441,SND-0248,RCV-0040,CAT-008,RISK-06,EE,53417.41,374.3
DEC-01442,SND-0015,RCV-0069,CAT-015,RISK-11,LV,53454.42,375.6
DEC-01443,SND-0032,RCV-0098,CAT-022,RISK-16,LT,53491.43,376.9
DEC-01444,SND-0049,RCV-0127,CAT-029,RISK-01,FI,53528.44,378.2
DEC-01445,SND-0066,RCV-0156,CAT-036,RISK-06,SE,53565.45,379.5
DEC-01446,SND-0083,RCV-0185,CAT-043,RISK-11,DE,53602.46,380.8
DEC-01447,SND-0100,RCV-0214,CAT-050,RISK-16,PL,53639.47,382.1
DEC-01448,SND-0117,RCV-0243,CAT-057,RISK-01,NL,53676.48,383.4
DEC-01449,SND-0134,RCV-0022,CAT-064,RISK-06,CN,53713.49,384.7
DEC-01450,SND-0151,RCV-0051,CAT-071,RISK-11,US,53750.50,386.0
DEC-01451,SND-0168,RCV-0080,CAT-078,RISK-16,EE,53787.51,387.3
DEC-01452,SND-0185,RCV-0109,CAT-005,RISK-01,LV,53824.52,388.6
DEC-01453,SND-0202,RCV-0138,CAT-012,RISK-06,LT,53861.53,389.9
DEC-01454,SND-0219,RCV-0167,CAT-019,RISK-11,FI,53898.54,391.2
DEC-01455,SND-0236,RCV-0196,CAT-026,RISK-16,SE,53935.55,392.5
DEC-01456,SND-0003,RCV-0225,CAT-033,RISK-01,DE,53972.56,393.8
DEC-01457,SND-0020,RCV-0004,CAT-040,RISK-06,PL,54009.57,395.1
DEC-01458,SND-0037,RCV-0033,CAT-047,RISK-11,NL,54046.58,396.4
DEC-01459,SND-0054,RCV-0062,CAT-054,RISK-16,CN,54083.59,397.7
DEC-01460,SND-0071,RCV-0091,CAT-061,RISK-01,US,54120.60,399.0
DEC-01461,SND-0088,RCV-0120,CAT-068,RISK-06,EE,54157.61,400.3
DEC-01462,SND-0105,RCV-0149,CAT-075,RISK-11,LV,54194.62,401.6
DEC-01463,SND-0122,RCV-0178,CAT-002,RISK-16,LT,54231.63,402.9
DEC-01464,SND-0139,RCV-0207,CAT-009,RISK-01,FI,54268.64,404.2
DEC-01465,SND-0156,RCV-0236,CAT-016,RISK-06,SE,54305.65,405.5
DEC-01466,SND-0173,RCV-0015,CAT-023,RISK-11,DE,54342.66,406.8
DEC-01467,SND-0190,RCV-0044,CAT-030,RISK-16,PL,54379.67,408.1
DEC-01468,SND-0207,RCV-0073,CAT-037,RISK-01,NL,54416.68,409.4
DEC-01469,SND-0224,RCV-0102,CAT-044,RISK-06,CN,54453.69,410.7
DEC-01470,SND-0241,RCV-0131,CAT-051,RISK-11,US,54490.70,412.0
DEC-01471,SND-0008,RCV-0160,CAT-058,RISK-16,EE,54527.71,413.3
DEC-01472,SND-0025,RCV-0189,CAT-065,RISK-01,LV,54564.72,414.6
DEC-01473,SND-0042,RCV-0218,CAT-072,RISK-06,LT,54601.73,415.9
DEC-01474,SND-0059,RCV-0247,CAT-079,RISK-11,FI,54638.74,417.2
DEC-01475,SND-0076,RCV-0026,CAT-006,RISK-16,SE,54675.75,418.5
DEC-01476,SND-0093,RCV-0055,CAT-013,RISK-01,DE,54712.76,419.8
DEC-01477,SND-0110,RCV-0084,CAT-020,RISK-06,PL,54749.77,421.1
DEC-01478,SND-0127,RCV-0113,CAT-027,RISK-11,NL,54786.78,422.4
DEC-01479,SND-0144,RCV-0142,CAT-034,RISK-16,CN,54823.79,423.7
DEC-01480,SND-0161,RCV-0171,CAT-041,RISK-01,US,54860.80,425.0
DEC-01481,SND-0178,RCV-0200,CAT-048,RISK-06,EE,54897.81,426.3
DEC-01482,SND-0195,RCV-0229,CAT-055,RISK-11,LV,54934.82,427.6
DEC-01483,SND-0212,RCV-0008,CAT-062,RISK-16,LT,54971.83,428.9
DEC-01484,SND-0229,RCV-0037,CAT-069,RISK-01,FI,55008.84,430.2
DEC-01485,SND-0246,RCV-0066,CAT-076,RISK-06,SE,55045.85,431.5
DEC-01486,SND-0013,RCV-0095,CAT-003,RISK-11,DE,55082.86,432.8
DEC-01487,SND-0030,RCV-0124,CAT-010,RISK-16,PL,55119.87,434.1
DEC-01488,SND-0047,RCV-0153,CAT-017,RISK-01,NL,55156.88,435.4
DEC-01489,SND-0064,RCV-0182,CAT-024,RISK-06,CN,55193.89,436.7
DEC-01490,SND-0081,RCV-0211,CAT-031,RISK-11,US,55230.90,438.0
DEC-01491,SND-0098,RCV-0240,CAT-038,RISK-16,EE,55267.91,439.3
DEC-01492,SND-0115,RCV-0019,CAT-045,RISK-01,LV,55304.92,440.6
DEC-01493,SND-0132,RCV-0048,CAT-052,RISK-06,LT,55341.93,441.9
DEC-01494,SND-0149,RCV-0077,CAT-059,RISK-11,FI,55378.94,443.2
DEC-01495,SND-0166,RCV-0106,CAT-066,RISK-16,SE,55415.95,444.5
DEC-01496,SND-0183,RCV-0135,CAT-073,RISK-01,DE,55452.96,445.8
DEC-01497,SND-0200,RCV-0164,CAT-080,RISK-06,PL,55489.97,447.1
DEC-01498,SND-0217,RCV-0193,CAT-007,RISK-11,NL,55526.98,448.4
DEC-01499,SND-0234,RCV-0222,CAT-014,RISK-16,CN,55563.99,449.7
DEC-01500,SND-0001,RCV-0001,CAT-021,RISK-01,US,55600.00,451.0
DEC-01501,SND-0018,RCV-0030,CAT-028,RISK-06,EE,55637.01,452.3
DEC-01502,SND-0035,RCV-0059,CAT-035,RISK-11,LV,55674.02,453.6
DEC-01503,SND-0052,RCV-0088,CAT-042,RISK-16,LT,55711.03,454.9
DEC-01504,SND-0069,RCV-0117,CAT-049,RISK-01,FI,55748.04,456.2
DEC-01505,SND-0086,RCV-0146,CAT-056,RISK-06,SE,55785.05,457.5
DEC-01506,SND-0103,RCV-0175,CAT-063,RISK-11,DE,55822.06,458.8
DEC-01507,SND-0120,RCV-0204,CAT-070,RISK-16,PL,55859.07,460.1
DEC-01508,SND-0137,RCV-0233,CAT-077,RISK-01,NL,55896.08,461.4
DEC-01509,SND-0154,RCV-0012,CAT-004,RISK-06,CN,55933.09,462.7
DEC-01510,SND-0171,RCV-0041,CAT-011,RISK-11,US,55970.10,464.0
DEC-01511,SND-0188,RCV-0070,CAT-018,RISK-16,EE,56007.11,465.3
DEC-01512,SND-0205,RCV-0099,CAT-025,RISK-01,LV,56044.12,466.6
DEC-01513,SND-0222,RCV-0128,CAT-032,RISK-06,LT,56081.13,467.9
DEC-01514,SND-0239,RCV-0157,CAT-039,RISK-11,FI,56118.14,469.2
DEC-01515,SND-0006,RCV-0186,CAT-046,RISK-16,SE,56155.15,470.5
DEC-01516,SND-0023,RCV-0215,CAT-053,RISK-01,DE,56192.16,471.8
DEC-01517,SND-0040,RCV-0244,CAT-060,RISK-06,PL,56229.17,473.1
DEC-01518,SND-0057,RCV-0023,CAT-067,RISK-11,NL,56266.18,474.4
DEC-01519,SND-0074,RCV-0052,CAT-074,RISK-16,CN,56303.19,475.7
DEC-01520,SND-0091,RCV-0081,CAT-001,RISK-01,US,56340.20,477.0
DEC-01521,SND-0108,RCV-0110,CAT-008,RISK-06,EE,56377.21,478.3
DEC-01522,SND-0125,RCV-0139,CAT-015,RISK-11,LV,56414.22,479.6
DEC-01523,SND-0142,RCV-0168,CAT-022,RISK-16,LT,56451.23,480.9
DEC-01524,SND-0159,RCV-0197,CAT-029,RISK-01,FI,56488.24,482.2
DEC-01525,SND-0176,RCV-0226,CAT-036,RISK-06,SE,56525.25,483.5
DEC-01526,SND-0193,RCV-0005,CAT-043,RISK-11,DE,56562.26,484.8
DEC-01527,SND-0210,RCV-0034,CAT-050,RISK-16,PL,56599.27,486.1
DEC-01528,SND-0227,RCV-0063,CAT-057,RISK-01,NL,56636.28,487.4
DEC-01529,SND-0244,RCV-0092,CAT-064,RISK-06,CN,56673.29,488.7
DEC-01530,SND-0011,RCV-0121,CAT-071,RISK-11,US,56710.30,490.0
DEC-01531,SND-0028,RCV-0150,CAT-078,RISK-16,EE,56747.31,491.3
DEC-01532,SND-0045,RCV-0179,CAT-005,RISK-01,LV,56784.32,492.6
